NO,Nilai,Kurs Jual,Kurs Beli,Tanggal,kurs_tengah,log_return
1202,1,14377.53,14234.47,2021-09-01,14306.0,
1201,1,14355.42,14212.58,2021-09-02,14284.0,-0.0015389999539900945
1200,1,14352.41,14209.6,2021-09-03,14281.005000000001,-0.00020969714592897247
1199,1,14332.31,14189.7,2021-09-06,14261.005000000001,-0.0014014432251551884
1198,1,14310.2,14167.81,2021-09-07,14239.005000000001,-0.0015438594140670802
1197,1,14265.98,14124.03,2021-09-08,14195.005000000001,-0.00309488778547519
1196,1,14337.33,14194.67,2021-09-09,14266.0,0.004988941694270735
1195,1,14343.36,14200.64,2021-09-10,14272.0,0.00042049198180725686
1194,1,14296.13,14153.88,2021-09-13,14225.005,-0.0032982443314719103
1193,1,14331.3,14188.7,2021-09-14,14260.0,0.002457083479968293
1192,1,14328.29,14185.72,2021-09-15,14257.005000000001,-0.00021005010947058273
1191,1,14323.26,14180.74,2021-09-16,14252.0,-0.00035111713308970426
1190,1,14309.19,14166.81,2021-09-17,14238.0,-0.0009828010619080888
1189,1,14304.17,14161.84,2021-09-20,14233.005000000001,-0.0003508832969715788
1188,1,14322.26,14179.75,2021-09-21,14251.005000000001,0.001263867158875486
1187,1,14315.22,14172.78,2021-09-22,14244.0,-0.0004916651280540683
1186,1,14320.25,14177.76,2021-09-23,14249.005000000001,0.0003513142998766062
1185,1,14327.28,14184.72,2021-09-24,14256.0,0.0004907910130456622
1184,1,14321.25,14178.75,2021-09-27,14250.0,-0.00042096401379397466
1183,1,14329.29,14186.71,2021-09-28,14258.0,0.0005612459807772427
1182,1,14340.35,14197.66,2021-09-29,14269.005000000001,0.0007715496629197846
1181,1,14378.54,14235.47,2021-09-30,14307.005000000001,0.00265957510505539
1180,1,14392.61,14249.4,2021-10-01,14321.005000000001,0.000978063170722852
1179,1,14386.58,14243.43,2021-10-04,14315.005000000001,-0.0004190528001494042
1178,1,14347.38,14204.62,2021-10-05,14276.0,-0.0027284822060714125
1177,1,14331.3,14188.7,2021-10-06,14260.0,-0.001121390641764047
1176,1,14316.23,14173.78,2021-10-07,14245.005000000001,-0.0010520960359887467
1175,1,14309.19,14166.81,2021-10-08,14238.0,-0.0004918722684795897
1174,1,14296.13,14153.88,2021-10-11,14225.005,-0.0009131151754998754
1173,1,14281.05,14138.95,2021-10-12,14210.0,-0.0010553893971723943
1172,1,14288.09,14145.92,2021-10-13,14217.005000000001,0.0004928412361267531
1171,1,14292.11,14149.9,2021-10-14,14221.005000000001,0.0002813136380764786
1170,1,14225.78,14084.23,2021-10-15,14155.005000000001,-0.004651825187338484
1169,1,14154.42,14013.58,2021-10-18,14084.0,-0.005028870503067961
1168,1,14166.48,14025.52,2021-10-19,14096.0,0.0008516679010175157
