NO,Nilai,Kurs Jual,Kurs Beli,Tanggal
1,1,17834.73,17657.27,9/1/2026 12:00:00 AM
2,1,17791.51,17614.49,8/31/2026 12:00:00 AM
3,1,17850.81,17673.19,8/28/2026 12:00:00 AM
4,1,17805.58,17628.42,8/27/2026 12:00:00 AM
5,1,17791.51,17614.49,8/26/2026 12:00:00 AM
6,1,17793.53,17616.47,8/24/2026 12:00:00 AM
7,1,17867.9,17690.1,8/21/2026 12:00:00 AM
8,1,17933.22,17754.78,8/20/2026 12:00:00 AM
9,1,17945.28,17766.72,8/19/2026 12:00:00 AM
10,1,17925.18,17746.82,8/18/2026 12:00:00 AM
11,1,17971.41,17792.59,8/14/2026 12:00:00 AM
12,1,17965.38,17786.62,8/13/2026 12:00:00 AM
13,1,17913.12,17734.88,8/12/2026 12:00:00 AM
14,1,17883.97,17706.03,8/11/2026 12:00:00 AM
15,1,18002.56,17823.44,8/10/2026 12:00:00 AM
16,1,18008.6,17829.4,8/7/2026 12:00:00 AM
17,1,18026.69,17847.31,8/6/2026 12:00:00 AM
18,1,18127.19,17946.81,8/5/2026 12:00:00 AM
19,1,18080.96,17901.04,8/4/2026 12:00:00 AM
20,1,18148.29,17967.71,8/3/2026 12:00:00 AM
21,1,18168.39,17987.61,7/31/2026 12:00:00 AM
22,1,18177.44,17996.56,7/30/2026 12:00:00 AM
23,1,18178.44,17997.56,7/29/2026 12:00:00 AM
24,1,18084.97,17905.03,7/28/2026 12:00:00 AM
25,1,18062.87,17883.13,7/27/2026 12:00:00 AM
26,1,18004.58,17825.42,7/24/2026 12:00:00 AM
27,1,17998.54,17819.46,7/23/2026 12:00:00 AM
28,1,17998.54,17819.46,7/22/2026 12:00:00 AM
29,1,18065.88,17886.12,7/21/2026 12:00:00 AM
30,1,18033.72,17854.28,7/20/2026 12:00:00 AM
31,1,18131.21,17950.79,7/17/2026 12:00:00 AM
32,1,18154.32,17973.68,7/16/2026 12:00:00 AM
33,1,18189.49,18008.51,7/15/2026 12:00:00 AM
34,1,18221.65,18040.35,7/14/2026 12:00:00 AM
35,1,18159.35,17978.65,7/13/2026 12:00:00 AM
36,1,18180.45,17999.55,7/10/2026 12:00:00 AM
37,1,18095.03,17914.97,7/9/2026 12:00:00 AM
38,1,18077.94,17898.06,7/8/2026 12:00:00 AM
39,1,18088.99,17909.01,7/7/2026 12:00:00 AM
40,1,18049.8,17870.2,7/6/2026 12:00:00 AM
41,1,18083.97,17904.03,7/3/2026 12:00:00 AM
42,1,18050.81,17871.19,7/2/2026 12:00:00 AM
43,1,17988.49,17809.51,7/1/2026 12:00:00 AM
44,1,17945.28,17766.72,6/30/2026 12:00:00 AM
45,1,18051.81,17872.19,6/29/2026 12:00:00 AM
46,1,18031.71,17852.29,6/26/2026 12:00:00 AM
47,1,18044.78,17865.22,6/25/2026 12:00:00 AM
48,1,17957.34,17778.66,6/24/2026 12:00:00 AM
49,1,17908.1,17729.9,6/23/2026 12:00:00 AM
50,1,17915.13,17736.87,6/22/2026 12:00:00 AM
51,1,17915.13,17736.87,6/19/2026 12:00:00 AM
52,1,17841.76,17664.24,6/18/2026 12:00:00 AM
53,1,17807.6,17630.4,6/17/2026 12:00:00 AM
54,1,18010.6,17831.4,6/15/2026 12:00:00 AM
55,1,18070.9,17891.1,6/12/2026 12:00:00 AM
56,1,18060.85,17881.15,6/11/2026 12:00:00 AM
57,1,18231.71,18050.29,6/10/2026 12:00:00 AM
58,1,18261.85,18080.15,6/9/2026 12:00:00 AM
59,1,18129.19,17948.81,6/8/2026 12:00:00 AM
60,1,18129.19,17948.81,6/5/2026 12:00:00 AM
61,1,18020.65,17841.35,6/4/2026 12:00:00 AM
62,1,17952.31,17773.69,6/3/2026 12:00:00 AM
63,1,17972.42,17793.58,6/2/2026 12:00:00 AM
64,1,17877.94,17700.06,5/29/2026 12:00:00 AM
65,1,17831.72,17654.28,5/26/2026 12:00:00 AM
66,1,17805.58,17628.42,5/25/2026 12:00:00 AM
67,1,17761.37,17584.63,5/22/2026 12:00:00 AM
68,1,17773.42,17596.58,5/21/2026 12:00:00 AM
69,1,17807.6,17630.4,5/20/2026 12:00:00 AM
70,1,17754.33,17577.67,5/19/2026 12:00:00 AM
71,1,17583.48,17408.52,5/18/2026 12:00:00 AM
72,1,17601.57,17426.43,5/13/2026 12:00:00 AM
73,1,17502.08,17327.92,5/12/2026 12:00:00 AM
74,1,17461.88,17288.13,5/11/2026 12:00:00 AM
75,1,17448.81,17275.19,5/8/2026 12:00:00 AM
76,1,17492.03,17317.97,5/7/2026 12:00:00 AM
77,1,17512.13,17337.88,5/6/2026 12:00:00 AM
78,1,17454.84,17281.16,5/5/2026 12:00:00 AM
79,1,17464.89,17291.11,5/4/2026 12:00:00 AM
80,1,17410.62,17237.38,4/30/2026 12:00:00 AM
81,1,17331.22,17158.78,4/29/2026 12:00:00 AM
82,1,17313.13,17140.87,4/28/2026 12:00:00 AM
83,1,17364.39,17191.61,4/27/2026 12:00:00 AM
84,1,17394.54,17221.46,4/24/2026 12:00:00 AM
85,1,17264.9,17093.1,4/23/2026 12:00:00 AM
86,1,17227.71,17056.29,4/22/2026 12:00:00 AM
87,1,17261.88,17090.12,4/21/2026 12:00:00 AM
88,1,17274.94,17103.06,4/20/2026 12:00:00 AM
89,1,17227.71,17056.29,4/17/2026 12:00:00 AM
90,1,17226.71,17055.29,4/16/2026 12:00:00 AM
91,1,17220.67,17049.33,4/15/2026 12:00:00 AM
92,1,17207.61,17036.39,4/14/2026 12:00:00 AM
93,1,17197.56,17026.44,4/13/2026 12:00:00 AM
94,1,17167.41,16996.59,4/10/2026 12:00:00 AM
95,1,17094.04,16923.96,4/9/2026 12:00:00 AM
96,1,17177.46,17006.54,4/8/2026 12:00:00 AM
97,1,17122.19,16951.81,4/7/2026 12:00:00 AM
98,1,17100.08,16929.92,4/6/2026 12:00:00 AM
99,1,17087.01,16916.99,4/2/2026 12:00:00 AM
100,1,17083.99,16914.01,4/1/2026 12:00:00 AM
101,1,17077.97,16908.03,3/31/2026 12:00:00 AM
102,1,17041.78,16872.22,3/30/2026 12:00:00 AM
103,1,16987.51,16818.49,3/27/2026 12:00:00 AM
104,1,16989.53,16820.47,3/26/2026 12:00:00 AM
105,1,17066.91,16897.09,3/25/2026 12:00:00 AM
106,1,17074.95,16905.05,3/17/2026 12:00:00 AM
107,1,17018.67,16849.33,3/16/2026 12:00:00 AM
108,1,16983.49,16814.51,3/13/2026 12:00:00 AM
109,1,16951.33,16782.67,3/12/2026 12:00:00 AM
110,1,16963.4,16794.6,3/11/2026 12:00:00 AM
111,1,17058.87,16889.13,3/10/2026 12:00:00 AM
112,1,17003.6,16834.4,3/9/2026 12:00:00 AM
